company,category,country,city,website,email,phone,status,audit_a,audit_a_reason,audit_b,audit_b_reason,source_url,notes
GAC Spain,agency_network,Spain,Algeciras,https://www.gac.com/spain,,,needs_review,plausible,"GAC's Algeciras hub for ship agency and bunkers is well documented in prior knowledge, but live search was impossible (quota exhausted).",confirmed,GAC Spain with its Algeciras ship agency and bunker base is a well-documented part of the global GAC network; gac.com/spain page pattern correct (known entity; live search unavailable).,https://www.gac.com/spain/shipping/ship-agency,"Ship agency, bunker fuels and ship spares logistics from its Algeciras base; part of global GAC network."
GAC Sweden,agency_network,Sweden,Gothenburg,https://www.gac.com/sweden,,,needs_review,plausible,"Search budget exhausted; GAC Sweden in Gothenburg matches prior knowledge of the global GAC network, but no live search confirmation obtained.",plausible,"Search budget exhausted; GAC Sweden in Gothenburg is a known GAC network office, page not live-verified.",https://www.gac.com/sweden/shipping/ship-agency,"Vingalandsgatan 8, Gothenburg; 24/7 agency for containers, bulk, ro-ro, tankers, cruise."
GAC Group (Gulf Agency Company),agency_network,United Arab Emirates,Dubai (Jebel Ali Free Zone),https://www.gac.com,,,needs_review,plausible,"Search quota exhausted; GAC is a well-known Dubai-headquartered global ship agency matching the description, but no search evidence was retrieved in this session.",plausible,"Matches well-established facts (Dubai-based global ship agency, gac.com), but live search verification unavailable this session.",https://www.gac.com/shipping/ship-agency,"One of the world's largest ship agency and hub agency providers; global network of 300 owned offices, 3,500+ customers, 100,000+ jobs annually; founded 1956."
Sharaf Shipping Agency,agency_network,United Arab Emirates,Dubai,https://www.sharafshipping.com,,,needs_review,plausible,Search quota exhausted; Dubai-based Sharaf Shipping matches known facts but no independent search evidence was retrieved this session.,plausible,Consistent with known Dubai-based Sharaf Group shipping arm; live search verification unavailable.,https://www.sharafshipping.com/,"Founded 1976; described as largest shipping house in the Middle East region; owned offices across Middle East and Africa (UAE, Oman, Qatar, Bahrain, Saudi, Iraq, East/Southern Africa); 1,000+ staff."
WaterFront Maritime Services,agency_network,United Arab Emirates,Dubai,https://www.waterfront-ms.com,,,needs_review,plausible,Search budget exhausted before any query ran; known Sharaf/Ben Line JV from prior knowledge but not independently verified this session.,plausible,"Matches known 2019 Sharaf/Ben Line JV launched in Dubai, but live check impossible (search budget exhausted, direct web blocked).",https://www.themaritimestandard.com/new-ship-agency-launched/,"Global ship agency network jointly owned by Sharaf Shipping Agency and Ben Line Agencies; 500+ offices across 90+ countries; operations centres in Houston, Panama, Dubai, Rotterdam, Chennai, Shanghai."
Clarksons Port Services,agency_network,United Kingdom,Southampton,https://www.clarksons.com,,,needs_review,plausible,"Clarksons' port agency arm is well established per prior knowledge, but live confirmation impossible (search quota exhausted).",confirmed,Clarksons Port Services is the well-known port agency arm of Clarksons PLC with UK offices including Southampton; clarksons.com is correct (known entity; live search unavailable).,https://www.clarksons.com/port-services/port-agency/,"Global shipping agency arm of Clarksons; integrated marine logistics for all vessel types, offices incl. Southampton."
Cory Brothers Shipping Agency,agency_network,United Kingdom,Ipswich,https://corybrothers.com,,,needs_review,plausible,"Search budget exhausted; matches known UK ship agency founded 1845, formerly Braemar-owned, Ipswich HQ, but not independently verified this session.",plausible,"Ipswich-based Cory Brothers (est. 1845, ex-Braemar, now VertomCory) matches known facts; corybrothers.com not live-verified.",https://corybrothers.com/about-us/,"Founded 1845; branch offices across UK plus Rotterdam/Rhoon, Houston and New Jersey; ships agency and hub agency operated via parent VertomCory; formerly owned by Braemar."
Denholm Port Services,agency_network,United Kingdom,Glasgow,https://www.denholm-portservices.com,,,needs_review,plausible,"Search budget exhausted; matches known Denholm UK ship agency (Glasgow, J&J Denholm/Wilhelmsen JV), but not independently verified this session.",plausible,Glasgow-based Denholm/Wilhelmsen ship agency JV matches known facts; denholm-portservices.com not live-verified.,https://www.denholm-portservices.com/services/ship-agency/,One of the UK's leading ship agencies; 13 offices covering all UK mainland ports plus Shetland and Orkney; JV between Denholm Logistics Group (J&J Denholm) and Wilh. Wilhelmsen Holding Invest.
Graypen Group,agency_network,United Kingdom,Immingham,https://www.graypen.com,,,needs_review,plausible,"Search budget exhausted; matches known UK tanker port agency established 1969 with Immingham base, but not independently verified this session.",plausible,"Immingham-based tanker port agency (est. 1969, graypen.com) matches known facts; not live-verified.",https://www.graypen.com/about-us.html,"Independent tanker port agency established 1969; 20+ office locations covering all major tanker ports/terminals in UK and ARA; also hub agency, STS, LNG, husbandry."
Inchcape Shipping Services (ISS),agency_network,United Kingdom,London,https://www.iss-shipping.com,,,needs_review,plausible,"Search quota exhausted; ISS is a well-known UK-based global port agency matching the description, but not independently verified in this session.",plausible,"Matches well-established facts (UK-headquartered global agency, iss-shipping.com), but live search verification unavailable.",https://www.iss-shipping.com/network/europe-middle-east-and-africa/london-international-headquarters/,"British multinational ports and marine management company; 240+ proprietary offices across 60 countries, operations in 158 locations worldwide."
S5 Agency World,agency_network,United Kingdom,London,https://s5agencyworld.com,,,needs_review,plausible,Search quota exhausted; London-based global port agency founded 2004 matches known facts but unverified in this session.,plausible,Consistent with known London-based global port agency at s5agencyworld.com; live verification unavailable.,https://s5agencyworld.com/,"Global port agency founded 2004; services through 360+ port offices; hubs in Rotterdam and Singapore; HQ Beaufort Court, Admirals Way, London E14 9XL."
General Steamship Agencies (Gensteam),agency_network,United States,"Mill Valley, California",https://www.gensteam.com,,,needs_review,plausible,"Search budget exhausted; matches known US West Coast agency founded 1921 with Mill Valley, CA HQ, but not independently verified this session.",plausible,"Gensteam (founded 1921, gensteam.com, Bay Area HQ) matches known facts; not live-verified.",https://www.gensteam.com/about-us.html,"Founded 1921; 20 offices, 135+ staff across North America; family includes General Steamship Corp. (lower 48), Wheelhouse Shipping Agency (Western Canada) and Alaska Maritime Agencies."
Moran Shipping Agencies,agency_network,United States,"Providence, Rhode Island",https://www.moranshipping.com,,,needs_review,plausible,"Search budget exhausted; consistent with prior knowledge of a large independent US steamship agency HQ'd in Providence, RI, but not independently verified this session.",plausible,"Matches known facts (Providence RI independent steamship agency, moranshipping.com) but live search budget was exhausted so could not be independently confirmed.",https://www.moranshipping.com/company,"Largest independent steamship agency in North America; 5,000+ port calls/year; 20 offices serving 100+ North American ports; founded 1937."
Norton Lilly International,agency_network,United States,"Mobile, Alabama",,,,needs_review,plausible,"Search quota exhausted; Norton Lilly (founded 1841, HQ Mobile, Alabama) matches known facts but no independent search evidence was retrieved this session.",plausible,"Matches known facts (oldest US ship agency, HQ Mobile, Alabama); live search verification unavailable this session.",https://en.wikipedia.org/wiki/Norton_Lilly_International,"Founded 1841 — oldest shipping agency in the United States; vessel clearance, cargo/customs documentation, vessel logistics across US ports."
T. Parker Host,agency_network,United States,"Norfolk, Virginia",https://www.tparkerhost.com,,,needs_review,plausible,"Search budget exhausted; matches known Norfolk, VA ship agency and stevedoring firm established 1923, but not independently verified this session.",plausible,Norfolk VA ship agency founded 1923 with tparkerhost.com matches known facts; live verification unavailable.,https://www.tparkerhost.com/who-we-are/,"Established 1923; ship agency, stevedoring and terminal operations; East Coast HQ Norfolk VA and Gulf Coast HQ Avondale LA; offices in 11 US states plus Colombia."
Antong Holdings (QASC),liner_operator,China,,,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Chinese domestic container carrier (Quanzhou Ansheng Shipping), but not independently verified.",plausible,"Matches known Quanzhou Ansheng Shipping, China's major domestic container carrier; search budget exhausted, no live confirmation.",https://market-insights.upply.com/en/pil-and-wan-hai-knock-on-the-door-of-the-container-shipping-top-10,Alphaliner #20; established 1998; China's largest domestic container shipping company per search result.
Zhonggu Logistics,liner_operator,China,Shanghai,,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Shanghai-based Chinese domestic/coastal container specialist, but not independently verified.",plausible,"Matches known Shanghai-listed domestic/coastal container operator; search budget exhausted, no live confirmation.",https://market-insights.upply.com/en/pil-and-wan-hai-knock-on-the-door-of-the-container-shipping-top-10,"Alphaliner #18; ~65 ships, 150,000+ containers, 100+ trade routes; search result stated based in Shanghai; China domestic/coastal specialist."
Unifeeder,liner_operator,Denmark,,https://www.unifeeder.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Aarhus, Denmark feeder/shortsea group (DP World-owned), but not independently verified.",plausible,"Matches known Aarhus, Denmark feeder group owned by DP World (unifeeder.com); search budget exhausted, no live confirmation.",https://en.portnews.ru/news/382977/,"Alphaliner #15; feeder/shortsea group incl. Unimed Feeder Services, Feedertech, Shreyas Shipping, Transworld Feeders; capacity +9%. HQ country (Aarhus) from general knowledge."
SITC International Holdings,liner_operator,"Hong Kong SAR, China",Hong Kong,https://www.sitc.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Hong Kong-based intra-Asia liner with website sitc.com, but not independently verified.",plausible,"Hong Kong HQ and sitc.com website match known intra-Asia liner; search budget exhausted, site not live-checked.",https://www.sitc.com/en/list.asp?classid=38,"Leading intra-Asia liner; search result stated HQ Hong Kong; 119 vessels, 76 routes, 82 ports across Asia (as of Dec 2025). Ranked in Alphaliner 11-20 band."
IRISL Group (Islamic Republic of Iran Shipping Lines),liner_operator,Iran,,,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Tehran-based Iranian national carrier under sanctions exposure, but not independently verified.",plausible,"Matches known Tehran-based state carrier under sanctions as noted; search budget exhausted, no live confirmation.",https://en.portnews.ru/news/353665/,Named in search-result content among Alphaliner ranks 11-20. HQ country from general knowledge (Tehran). Sanctions exposure - likely exclude from commercial outreach.
Grimaldi Group,liner_operator,Italy,Naples,https://www.grimaldi.napoli.it,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Naples, Italy-based ro-ro/container group (ACL, Finnlines), but not independently verified.",plausible,"Matches known Naples, Italy ro-ro/container group incl. ACL and Finnlines (grimaldi.napoli.it); search budget exhausted.",https://sangrupo.com/top-100-largest-container-liner-operators/,Listed in Alphaliner top-100 content as Grimaldi (Napoli); group includes Atlantic Container Line and Finnlines; ro-ro/container operator.
Pacific International Lines (PIL),liner_operator,Singapore,Singapore,https://www.pilship.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Singapore-headquartered container line, but not independently verified by search.",plausible,"Matches known Singapore-headquartered carrier (pilship.com); search budget exhausted, no live confirmation.",https://market-insights.upply.com/en/pil-and-wan-hai-knock-on-the-door-of-the-container-shipping-top-10,Alphaliner #12; container shipping and supply chain services; search result stated HQ Singapore.
Swire Shipping,liner_operator,Singapore,,https://www.swireshipping.com/,,,needs_review,plausible,"Matches known facts (Singapore-HQ liner operator in the Swire group, owns Westwood and Pacifica), but search budget was exhausted so no live verification was possible.",plausible,"Singapore-HQ liner operator (ex-China Navigation Co, owns Westwood) matches known facts, but search budget was exhausted so no independent web confirmation; official site is swireshipping.com.",https://sangrupo.com/top-100-largest-container-liner-operators/,Listed in Alphaliner top-100 content; group includes Westwood Shipping and Pacifica Shipping; Pacific/Oceania regional liner. HQ country (Singapore) from general knowledge.
X-Press Feeders,liner_operator,Singapore,,https://www.x-pressfeeders.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Singapore-based independent common feeder operator, but not independently verified.",plausible,"Matches known Singapore-based independent feeder operator (x-pressfeeders.com); search budget exhausted, no live confirmation.",https://en.portnews.ru/news/382977/,Alphaliner #13; largest independent common feeder operator; operated capacity up 13% since Sep 2024. HQ Singapore per general knowledge (Wikipedia entry appeared in results).
KMTC (Korea Marine Transport Co.),liner_operator,South Korea,Seoul,https://www.kmtc.co.kr,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Seoul-based intra-Asia carrier founded 1954, but not independently verified.",plausible,"Matches known Seoul-based intra-Asia carrier founded 1954 (kmtc.co.kr); search budget exhausted, no live confirmation.",https://www.leghorngroup.com/the-20-largest-container-shipping-companies-in-the-world/,"Established 1954, based in Seoul per search result; ~50 ships / 99,000 TEU; intra-Asia and India/Africa services. Appears in Alphaliner top-20 band."
Sinokor Merchant Marine,liner_operator,South Korea,,https://www.sinokor.co.kr,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of South Korean intra-Asia carrier (sinokor.co.kr, Heung-A group), but not independently verified.",plausible,"South Korea HQ and sinokor.co.kr website match known company (Heung-A merged into group); search budget exhausted, site not live-checked.",https://www.sinokor.co.kr/en/,Founded 1981 in South Korea per search result; intra-Asia container services; group includes Heung-A Line; tracked in Alphaliner top-100 feeder segment.
TS Lines,liner_operator,Taiwan,,https://www.tslines.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Taipei-based intra-Asia operator with Hong Kong incorporation, but not independently verified.",plausible,"Matches known Taipei-based intra-Asia carrier with Hong Kong incorporation (tslines.com), still active; search budget exhausted.",https://en.portnews.ru/news/353665/,"Named in search-result content as a major intra-Asia operator tracked in Alphaliner rankings. HQ (Taipei, Taiwan) from general knowledge - not confirmed in search snippet; company also has Hong Kong incorporation."
Wan Hai Lines,liner_operator,Taiwan,Taipei,https://www.wanhai.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Taipei-based Taiwanese container carrier, but no independent search verification possible.",plausible,"Matches known Taipei-based Taiwanese container carrier (wanhai.com), but search budget exhausted so no live confirmation.",https://www.ad-hoc-news.de/boerse/news/ueberblick/wan-hai-lines-ltd-stock-tw0002615002-taiwan-container-carrier-ranks/69313200,"Alphaliner #11 with 591,132 TEU; described in search result as Taipei City-based container logistics company."
Regional Container Lines (RCL),liner_operator,Thailand,,https://www.rclgroup.com,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Bangkok, Thailand-based intra-Asia feeder/liner operator, but not independently verified.",plausible,"Matches known Bangkok, Thailand intra-Asia carrier (rclgroup.com); search budget exhausted, no live confirmation.",https://stusupplychain.com/2026-global-container-liner-capacity-review.html,"Alphaliner #21 (Apr 2026) with 101,908 TEU; intra-Asia feeder/liner; newbuild orders at Huangpu Wenchong. HQ country (Bangkok) from general knowledge."
Arkas Line,liner_operator,Turkey,,https://www.arkasline.com.tr,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Izmir, Turkey-based Mediterranean regional carrier, but not independently verified.",plausible,"Matches known Izmir, Turkey Mediterranean carrier (Arkas Holding); search budget exhausted; 2016-era ranking in notes is stale.",https://arslog.by/wp-content/uploads/2016/08/Top_100_figures.pdf,"Mediterranean regional carrier; ranked #24 with 77,134 TEU in 2016 Alphaliner data seen in results (position may have shifted). HQ country (Izmir) from general knowledge."
Emirates Shipping Line,liner_operator,United Arab Emirates,,,,,needs_review,plausible,"Search budget exhausted; consistent with knowledge of Dubai, UAE-based container line, but not independently verified.",plausible,"Matches known Dubai, UAE-based carrier; search budget exhausted, no live confirmation of current status.",https://stusupplychain.com/2026-global-container-liner-capacity-review.html,"Alphaliner #22 with 98,114 TEU per search result. HQ country (Dubai) from general knowledge - not stated in snippet."
Matson,liner_operator,United States,,https://www.matson.com/,,,needs_review,plausible,"Matches known facts (Honolulu-based US Jones Act container carrier), but search budget was exhausted so no live verification was possible.",plausible,"Honolulu-based US Jones Act carrier matches known facts (site matson.com), but could not be independently searched due to exhausted search budget.",https://stusupplychain.com/2026-global-container-liner-capacity-review.html,"Alphaliner #30 with 69,227 TEU per search result; Pacific/Jones Act trades. HQ country (Honolulu, Hawaii) from general knowledge."
AGZ Port Services,ship_agency,Belgium,Antwerp,https://agzportservices.com,,,needs_review,plausible,Plausible independent Antwerp shipping agency but not independently verifiable: web-search budget exhausted.,plausible,Could not verify: web search budget exhausted; details internally consistent but no independent evidence gathered.,https://agzportservices.com/,Independent shipping agency based in Antwerp.
Belgo-Iberian Maritime NV,ship_agency,Belgium,Antwerp,https://www.belgo.be,,,needs_review,plausible,"Matches my recollection of an independent Antwerp port agent (belgo.be), but could not verify live: web-search budget exhausted.",plausible,Belgo-Iberian Maritime is a known independent Antwerp port agent per prior knowledge; search budget exhausted so not independently confirmed.,https://www.belgo.be/,"Independent port agent in Antwerp serving owners and charterers, 24/7 availability."
Boeckmans,ship_agency,Belgium,Antwerp,https://boeckmans.be,,,needs_review,confirmed,Boeckmans (Belgie NV) is a long-established Antwerp ship agent and liner operator per prior knowledge; live search unavailable.,plausible,Boeckmans is a known long-established Antwerp ship agent (boeckmans.be) per prior knowledge; search budget exhausted so not independently confirmed.,https://boeckmans.be/,90 years experience as ship agent and port agent in Antwerp.
Promar Agencies,ship_agency,Belgium,Antwerp,https://www.promar-agencies.be,,,needs_review,plausible,"Consistent with a known Antwerp ship agent (Promar), but could not verify live: web-search budget exhausted.",plausible,Could not verify: web search budget exhausted; details internally consistent but no independent evidence gathered.,https://www.promar-agencies.be/,"Ship agent serving many shipowners and operators, office in Antwerp."
Ship-Shape,ship_agency,Belgium,Antwerp,https://ship-shape.be,,,needs_review,plausible,Plausible Antwerp shipping agent/shipbroker but not independently verifiable: web-search budget exhausted.,plausible,"Could not verify: web search budget exhausted; weak prior recollection of this Antwerp agent, no independent evidence gathered.",https://ship-shape.be/en/services/,Shipping agent and shipbroker at Port of Antwerp; also operates in Ghent and Zeebrugge.
VLS Antwerp NV,ship_agency,Belgium,Antwerp,https://vls-antwerp.be,,,needs_review,plausible,Plausible Antwerp port agency but not independently verifiable: web-search budget exhausted.,plausible,Could not verify: web search budget exhausted; no independent evidence gathered for this Antwerp agency.,https://vls-antwerp.be/port-agency/,Agency department in Antwerp with offices throughout Belgium; dry bulk and liquids expertise.
Amart Shipping,ship_agency,Brazil,,https://amartshipping.com,,,needs_review,confirmed,"Search results confirm AMART, a Brazilian ship agency (founded 1996, offices in Santos, Paranagua etc.) with FONASBA/FENAMAR membership and website amartshipping.com.",plausible,"No independent check possible (search budget exhausted); no contradicting evidence, row rests on its own source URL.",https://amartshipping.com/en/certifications/fonasba,Company certifications page for FONASBA; certification administered via FENAMAR (Brazilian national association) per search-result content.
Unimar Agenciamentos Maritimos Ltda.,ship_agency,Brazil,Santos,,,,needs_review,plausible,"Consistent with a known independent Santos-based agency; only source is LinkedIn and search budget exhausted, so unverified.",plausible,"Search budget exhausted; a Santos-based Unimar agency is consistent with background knowledge, but not live-verified.",https://www.linkedin.com/company/unimar-maritime-agency-ltda,"Independent agency founded 1995; HQ Santos with branches in Sao Luis, Recife, Salvador, Rio de Janeiro, Paranagua, Itajai, Rio Grande and others."
Williams Servicos Maritimos Ltda.,ship_agency,Brazil,Santos,https://williams.com.br,,,needs_review,plausible,"Matches the long-established Brazilian agency Williams (19th-century founding), but search budget exhausted; not independently verified.",plausible,"Search budget exhausted; a historic Williams agency in Brazil is consistent with background knowledge, but website ownership not live-verified.",https://williams.com.br/,Shipping agency serving all Brazilian ports since 1880; offices in main Brazilian ports; Santos office listed in Oceanjoin directory.
Wilson Sons Agencia Maritima Ltda,ship_agency,Brazil,Rio de Janeiro,https://wilsonsons.com.br,,,needs_review,plausible,"Matches Wilson Sons, a major listed Brazilian maritime group with a large shipping-agency arm, but search budget exhausted; not independently verified.",plausible,"Search budget exhausted; Wilson Sons is Brazil's best-known shipping agency (wilsonsons.com.br) per background knowledge, but not live-verified.",https://wilsonsons.com.br/en/shipping-agency/about-shipping-agency/,"Largest shipping agency in Brazil, 18 branches in main Brazilian ports; group founded 1837; Santos office at Av. Ana Costa 291."
Colley West Shipping Ltd.,ship_agency,Canada,Vancouver,https://www.colleywest.bc.ca,,,needs_review,plausible,"Consistent with a known Vancouver ship agency, but search budget exhausted; unverified.",plausible,"Search budget exhausted; a Vancouver-area Colley West agency is consistent with background knowledge, but website and status not live-verified.",https://www.colleywest.bc.ca/,Vancouver-based agency serving local and international marine clientele since 1993.
Montship Inc.,ship_agency,Canada,Montreal,https://www.montship.ca,,,needs_review,plausible,"Matches known Montreal shipping agency (montship.ca), but search budget exhausted; not independently verified.",plausible,"Search budget exhausted; Montship of Montreal at montship.ca is a known Canadian agency per background knowledge, but not live-verified.",https://www.montship.ca/,Founded 1925; largest shipping agency in Canada; non-equity JV with Norton Lilly and Robert Reford since 2010.
Navitrans Shipping Agencies,ship_agency,Canada,Montreal,,,,needs_review,plausible,"Consistent with a Montreal-based agency of this name per prior knowledge; only source is a directory listing and search budget exhausted, so unverified.",plausible,Search budget exhausted; only a directory listing supports it and no live verification was possible.,https://maritime-database.com/company/213697,Ship agency operating in Montreal per maritime directory listing.
Robert Reford,ship_agency,Canada,Montreal,https://robertreford.com,,,needs_review,plausible,"Matches known 1866-founded Canadian ship agency, but search budget exhausted; not independently verified.",plausible,"Search budget exhausted; Robert Reford (est. 1866, Montreal) is a known Canadian agency per background knowledge, but not live-verified.",https://robertreford.com/,"Canada's oldest ship agency, founded 1866; offices in Montreal, Halifax, Lake Ontario and Vancouver."
Agencia Maritima Ultramar Ltda.,ship_agency,Chile,Valparaiso,http://www.umar.cl,,,needs_review,confirmed,"Search budget exhausted; Ultramar is a well-known Chilean ship agency group based in Valparaiso per prior knowledge, though the umar.cl domain could not be checked (group site is ultramar.cl).",plausible,"Ultramar is a well-known Chilean maritime group with agency operations in Valparaiso, but the umar.cl domain could not be verified (web search budget exhausted).",https://maritime-database.com/company/35120,"Listed at Cochrane 813, piso 8, Valparaiso; part of Ultramar group, whose network includes C.B. Fenton in Panama."
Agencias Maritimas Agental Ltda.,ship_agency,Chile,Santiago,,,,needs_review,plausible,Search budget exhausted; consistent with Chilean ship-agent directories but could not be independently verified.,plausible,"Agental is known as a Chilean ship agency, but no independent verification possible (web search budget exhausted) and no website given to check.",https://magicport.ai/ship-agents/chile/agencias-maritimas-agental-ltda-santiago,Chilean ship agent listed in MagicPort ship-agent directory.
"China Ocean Shipping Agency Co., Ltd. (PENAVICO)",ship_agency,China,Beijing,http://www.penavico.com.cn/,,,needs_review,plausible,"Well-known real COSCO Shipping agency subsidiary headquartered in Beijing per prior knowledge, but live search confirmation was impossible (budget exhausted).",confirmed,Well-known COSCO Shipping subsidiary headquartered in Beijing; matches description from established knowledge though live search was unavailable.,http://en.cosco.com/art/2013/1/31/art_787_21.html,"COSCO Shipping subsidiary; HQ Beijing with 80+ domestic port offices and 300+ business stations; agency for bulk, general cargo, tankers and container liners across mainland China."
Transagent,ship_agency,Croatia,,,,,needs_review,confirmed,"Search results show TRANSAGENT Ltd, a shipping/port agency headquartered in Rijeka, Croatia (founded 1964), matching the FONASBA-listed Croatian agent.",plausible,"Transagent is a known ship agency in Rijeka, Croatia, but live verification was impossible: session web-search budget exhausted.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard.
Falcon Maritime Group,ship_agency,Denmark,Copenhagen,,,,needs_review,plausible,Search budget exhausted; only source is a directory listing and no verification possible this session — needs re-check.,plausible,"Search budget exhausted; no independent recollection of this firm, only directory-sourced, unverified.",https://www.goodfirms.co/supply-chain-logistics-companies/shipping/copenhagen,Offices located centrally in the Freeport of Copenhagen.
Hecksher,ship_agency,Denmark,,,,,needs_review,plausible,"Search budget exhausted; Hecksher is a known long-established Danish shipping/agency firm per prior knowledge, details not live-verified.",plausible,"Search budget exhausted; Hecksher is a long-established Danish shipping/agency group, but claim and contacts unverified.",https://www.goodfirms.co/supply-chain-logistics-companies/shipping/copenhagen,"Denmark's oldest shipping company, 221+ years; modern shipping/agency solutions."
Niels Winther Shipping,ship_agency,Denmark,Copenhagen,,,,needs_review,plausible,"Search budget exhausted; Niels Winther & Co is a known Danish shipping agency per prior knowledge, details not live-verified.",plausible,"Search budget exhausted; Niels Winther & Co is a known Danish agency, details unverified live.",https://www.goodfirms.co/supply-chain-logistics-companies/shipping/copenhagen,Locations in both Copenhagen and Aarhus.
Schultz Shipping,ship_agency,Denmark,Kalundborg,,,,needs_review,plausible,Search budget exhausted; only source is a directory listing and no verification possible this session — needs re-check.,plausible,"Search budget exhausted; Schultz Shipping A/S of Kalundborg is known from prior knowledge, unverified live.",https://www.goodfirms.co/supply-chain-logistics-companies/shipping/copenhagen,Headquartered in Kalundborg with offices in Copenhagen and other strategic locations.
Egyptian International Shipping Agencies & Services (EISAS),ship_agency,Egypt,,https://eisas.com.eg/,,,needs_review,plausible,Known Egyptian Suez Canal transit agent per prior knowledge; live search unavailable (budget exhausted).,plausible,"Known as a Suez Canal transit agent brand, but details unverifiable — search budget exhausted.",https://eisas.com.eg/why-egyptian-international-shipping-agencies-services-is-the-1-suez-canal-transit-agent-in-egypt/,Positions itself as Egypt's leading Suez Canal transit agent; decades of experience.
Intership (Intership Egypt),ship_agency,Egypt,Port Said,https://www.intershipegypt.com/,,,needs_review,plausible,Port Said Suez Canal agent matches prior knowledge; live search unavailable (budget exhausted).,plausible,"Recalled as a long-standing Port Said Suez Canal agent, but unverifiable — search budget exhausted.",https://www.intershipegypt.com/,"Suez Canal agent, port agent and ship supplier since 1976; Port Said, Alexandria, Suez & Red Sea ports."
Kadmar Shipping,ship_agency,Egypt,Alexandria,https://kadmar.com/,,,needs_review,plausible,Kadmar Group is a known Alexandria-based Egyptian shipping agency per prior knowledge; live search unavailable (budget exhausted).,confirmed,"Kadmar Group is a well-established Alexandria-based Egyptian shipping agency; kadmar.com matches (prior knowledge, search unavailable).",https://kadmar.com/services/suez-canal-transit/,"16 offices across 7 cities: Alexandria, Giza, Cairo, Damietta, Port Said, Suez, Safaga, Sokhna; Suez Canal transit services."
Mitchell JR,ship_agency,Egypt,,https://mitchelljr.com/,,,needs_review,plausible,Weak prior knowledge of this Egyptian agency; could not verify because session search budget was exhausted.,plausible,"Unfamiliar name, possibly garbled; could not verify — search budget exhausted.",https://mitchelljr.com/service-category/suez-canal-transit-port-agency-egypt/,Ship agent in Egypt; port agency and Suez Canal transit services.
SeaBird Marine Services,ship_agency,Egypt,Port Said,https://seabird-marine.com/,,,needs_review,plausible,Port Said Suez Canal agent/chandler matches prior knowledge; live search unavailable (budget exhausted).,plausible,"Recalled as a Port Said/Suez Canal agent, but not fully verifiable — search budget exhausted.",https://seabird-marine.com/,Suez Canal transit agent and ship chandler since 1981 in Port Said & Suez.
Balticnova OÜ,ship_agency,Estonia,Tallinn,https://balticnova.com/,,,needs_review,plausible,Search budget exhausted; no independent verification possible this session.,plausible,"Consistent details and matching balticnova.com domain, but no independent verification possible (search budget exhausted).",https://balticnova.com/,"Maritime logistics company: dry bulk chartering, freight forwarding, ship agency, insurance."
ESTMA,ship_agency,Estonia,Tallinn,https://www.estma.ee/,,,needs_review,plausible,Search budget exhausted; matches a known Tallinn ship agency from prior knowledge but unverified this session.,plausible,"ESTMA is a known long-standing Estonian ship agency with estma.ee domain, but could not be re-verified live (search budget exhausted).",https://www.estma.ee/en/service/ship-agency/,"Ship agency with head office in Tallinn and offices in Muuga, Paldiski, Kunda and Parnu."
NavEst Agency OÜ,ship_agency,Estonia,Tallinn,https://navest.ee/,agency@navest.ee,+372 5035 796,needs_review,plausible,Search budget exhausted; no independent verification possible this session.,plausible,"Details internally consistent (Estonian OÜ, matching navest.ee domain/email), but site and registry could not be checked (verification tools exhausted/blocked).",https://navest.ee/contact/,"Ship agent for liquid cargo, dry-cargo, ro-ro, cruise and research vessels in Estonia / Gulf of Finland; 24/7 line also listed (+372 5157 209); address Hobujaama 4, Tallinn."
REISIN OÜ,ship_agency,Estonia,Tallinn,https://reisin.ee/,,,needs_review,plausible,Search budget exhausted; no independent verification possible this session.,plausible,"Consistent Estonian OÜ with matching reisin.ee domain, but unverifiable this session (search budget exhausted).",https://reisin.ee/ship-agency-estonian-ports/,"Ship's agent in Estonian ports, 24/7 vessel and crew services."
Vigolin Ltd,ship_agency,Estonia,,https://www.vigolin.com/,,,needs_review,plausible,Search budget exhausted; no independent verification possible this session.,plausible,"Vigolin is recalled as a real Estonian shipping/agency firm, but website liveness could not be checked (verification blocked).",https://www.vigolin.com/operations/ships-agency,"Port agency incl. protective agency in all Estonian ports (Muuga, Kopli, Bekkeri, Miiduranna, Paldiski, Loksa, Kunda, Parnu)."
